2019-01-07T14:32:55.210031Z chan=cowrie, saddr=96229175, sport=47770, dport=22, daddr=1741490229, url=0, hash=asdasd
2019-01-07T14:32:57.805496Z chan=cowrie, saddr=2649103867, sport=34646, dport=23, daddr=3115805500, url=0, hash=asdasd
2019-01-07T14:32:52.311357Z chan=cowrie, saddr=1844971881, sport=38288, dport=22, daddr=1401448981, url=0, hash=asdasd
2019-01-07T14:33:00.913843Z chan=cowrie, saddr=3468541156, sport=60422, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:33:00.901888Z chan=cowrie, saddr=3468541156, sport=60879, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:33:02.440332Z chan=cowrie, saddr=3468541156, sport=55007, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:33:08.102341Z chan=cowrie, saddr=3468504999, sport=41494, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:54.221142Z chan=cowrie, saddr=3148739410, sport=32842, dport=22, daddr=1542536598, url=0, hash=asdasd
2019-01-07T14:33:00.645837Z chan=cowrie, saddr=2649103867, sport=49386, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:50.687355Z chan=cowrie, saddr=96229175, sport=51512, dport=22, daddr=531388725, url=0, hash=asdasd
2019-01-07T14:32:59.518260Z chan=cowrie, saddr=1356013336, sport=35850, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:54.827897Z chan=cowrie, saddr=2649103867, sport=38482, dport=23, daddr=3115805500, url=0, hash=asdasd
2019-01-07T14:32:52.199038Z chan=cowrie, saddr=96229173, sport=60706, dport=22, daddr=3259243132, url=0, hash=asdasd
2019-01-07T14:32:56.644821Z chan=cowrie, saddr=3468541156, sport=56527, dport=23, daddr=3584661408, url=0, hash=asdasd
2019-01-07T14:33:06.334247Z chan=cowrie, saddr=3468504999, sport=57524, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:55.218834Z chan=cowrie, saddr=1441407943, sport=41454, dport=23, daddr=3338619473, url=0, hash=asdasd
2019-01-07T14:32:58.611385Z chan=cowrie, saddr=3468541156, sport=46003, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:50.139560Z chan=cowrie, saddr=3271791409, sport=3431, dport=22, daddr=2988517694, url=0, hash=asdasd
2019-01-07T14:32:50.886964Z chan=cowrie, saddr=90515556, sport=37515, dport=22, daddr=2916435693, url=0, hash=asdasd
2019-01-07T14:32:51.059220Z chan=cowrie, saddr=3701380228, sport=51510, dport=22, daddr=2988517694, url=0, hash=asdasd
2019-01-07T14:33:02.310071Z chan=cowrie, saddr=3468504999, sport=51372, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:58.322847Z chan=cowrie, saddr=3468541156, sport=33114, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:32:47.294933Z chan=cowrie, saddr=96229175, sport=62580, dport=22, daddr=839349432, url=0, hash=asdasd
2019-01-07T14:32:46.786396Z chan=cowrie, saddr=2588066130, sport=51814, dport=23, daddr=3221476730, url=0, hash=asdasd
2019-01-07T14:32:52.139974Z chan=cowrie, saddr=3165019384, sport=48359, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:32:56.704981Z chan=cowrie, saddr=3468541156, sport=60471, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:33:06.350515Z chan=cowrie, saddr=2566536308, sport=50067, dport=23, daddr=3109926901, url=0, hash=asdasd
2019-01-07T14:32:46.029041Z chan=cowrie, saddr=1844971881, sport=63840, dport=22, daddr=839349432, url=0, hash=asdasd
2019-01-07T14:32:56.787456Z chan=cowrie, saddr=3468541156, sport=53381, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:32:48.626733Z chan=cowrie, saddr=90515556, sport=35858, dport=22, daddr=3221476745, url=0, hash=asdasd
2019-01-07T14:32:52.596199Z chan=cowrie, saddr=1883385185, sport=27560, dport=23, daddr=3259491105, url=0, hash=asdasd
2019-01-07T14:32:52.738809Z chan=cowrie, saddr=3468541156, sport=50703, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:32:52.713506Z chan=cowrie, saddr=3468541156, sport=40667, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:32:58.188710Z chan=cowrie, saddr=3165019384, sport=33230, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:45.204724Z chan=cowrie, saddr=96229075, sport=39406, dport=22, daddr=1334724124, url=0, hash=asdasd
2019-01-07T14:32:44.639097Z chan=cowrie, saddr=96229175, sport=48206, dport=22, daddr=1348085522, url=0, hash=asdasd
2019-01-07T14:32:45.491667Z chan=cowrie, saddr=2988553491, sport=48792, dport=23, daddr=3109993930, url=0, hash=asdasd
2019-01-07T14:32:52.584893Z chan=cowrie, saddr=3468541156, sport=38833, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:33:03.241313Z chan=cowrie, saddr=3398341171, sport=45814, dport=23, daddr=3413264704, url=0, hash=asdasd
2019-01-07T14:32:59.724442Z chan=cowrie, saddr=3468504999, sport=57379, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:49.910993Z chan=cowrie, saddr=1356013336, sport=41404, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:54.972635Z chan=cowrie, saddr=3468541156, sport=43394, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:54.903169Z chan=cowrie, saddr=3468541156, sport=43965, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:48.442866Z chan=cowrie, saddr=2649103867, sport=57421, dport=23, daddr=3115805500, url=0, hash=asdasd
2019-01-07T14:32:50.478218Z chan=cowrie, saddr=3468541156, sport=41482, dport=23, daddr=3584661408, url=0, hash=asdasd
2019-01-07T14:32:51.639809Z chan=cowrie, saddr=1152890684, sport=59428, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:47.721977Z chan=cowrie, saddr=3468541156, sport=60734, dport=23, daddr=3104455075, url=0, hash=asdasd
2019-01-07T14:32:49.736520Z chan=cowrie, saddr=3468541156, sport=35333, dport=23, daddr=3115180659, url=0, hash=asdasd
2019-01-07T14:32:42.233142Z chan=cowrie, saddr=96229173, sport=39308, dport=22, daddr=839348262, url=0, hash=asdasd
2019-01-07T14:32:47.821256Z chan=cowrie, saddr=3468541156, sport=58151, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:32:41.852619Z chan=cowrie, saddr=2588066130, sport=50436, dport=23, daddr=3221476745, url=0, hash=asdasd
2019-01-07T14:32:55.554036Z chan=cowrie, saddr=3468504999, sport=59095, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:41.619688Z chan=cowrie, saddr=96229169, sport=62776, dport=22, daddr=3117093447, url=0, hash=asdasd
2019-01-07T14:32:59.097838Z chan=cowrie, saddr=3082875769, sport=55964, dport=23, daddr=2440312837, url=0, hash=asdasd
2019-01-07T14:32:57.796042Z chan=cowrie, saddr=2064154116, sport=34391, dport=23, daddr=839349432, url=0, hash=asdasd
2019-01-07T14:32:46.269788Z chan=cowrie, saddr=3165019384, sport=41809, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:32:47.874832Z chan=cowrie, saddr=1441407943, sport=41322, dport=23, daddr=3338619473, url=0, hash=asdasd
2019-01-07T14:32:51.240360Z chan=cowrie, saddr=3468541156, sport=45249, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:32:54.468800Z chan=cowrie, saddr=1532846646, sport=50286, dport=23, daddr=1729870093, url=0, hash=asdasd
