2019-02-08T16:40:44.769554Z chan=cowrie, saddr=7, sport=6, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:43.287678Z chan=cowrie, saddr=1, sport=4, dport=1, daddr=4, url=0, hash=h
2019-02-08T16:40:42.152591Z chan=cowrie, saddr=5, sport=9, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:41.938808Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=4, url=0, hash=h
2019-02-08T16:40:43.352277Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:45.910524Z chan=cowrie, saddr=4, sport=3, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:40.132186Z chan=cowrie, saddr=5, sport=3, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:40:42.975185Z chan=cowrie, saddr=9, sport=0, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:40:37.763461Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:40:52.349415Z chan=cowrie, saddr=1, sport=5, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:41.358721Z chan=cowrie, saddr=4, sport=9, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:40.876744Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:40.964599Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:34.254633Z chan=cowrie, saddr=5, sport=5, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:40:35.818015Z chan=cowrie, saddr=7, sport=9, dport=1, daddr=8, url=0, hash=h
2019-02-08T16:41:09.209504Z chan=cowrie, saddr=3, sport=8, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:41:06.918688Z chan=cowrie, saddr=8, sport=8, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:32.893791Z chan=cowrie, saddr=5, sport=5, dport=1, daddr=8, url=0, hash=h
2019-02-08T16:40:41.712164Z chan=cowrie, saddr=5, sport=5, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:40:40.918928Z chan=cowrie, saddr=6, sport=5, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:39.852128Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:39.422701Z chan=cowrie, saddr=6, sport=9, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:31.969261Z chan=cowrie, saddr=0, sport=3, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:47.802281Z chan=cowrie, saddr=4, sport=8, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:40:41.650629Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:36.462999Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:40:37.255300Z chan=cowrie, saddr=6, sport=9, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:40:35.248087Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:41:24.609525Z chan=cowrie, saddr=1, sport=2, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:28.353536Z chan=cowrie, saddr=0, sport=9, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:28.596076Z chan=cowrie, saddr=2, sport=0, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:39.264773Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:40.635513Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:37.707821Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:40:39.727885Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:33.436230Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:32.793360Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:24.441436Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:40:31.842241Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:58.034308Z chan=cowrie, saddr=5, sport=8, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:41:21.582578Z chan=cowrie, saddr=1, sport=2, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:29.429958Z chan=cowrie, saddr=4, sport=3, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:39.985547Z chan=cowrie, saddr=2, sport=9, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:31.831005Z chan=cowrie, saddr=1, sport=7, dport=0, daddr=8, url=0, hash=h
2019-02-08T16:40:30.985881Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:41:12.208547Z chan=cowrie, saddr=1, sport=2, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:22.350121Z chan=cowrie, saddr=5, sport=1, dport=1, daddr=4, url=0, hash=h
2019-02-08T16:40:33.442108Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:28.842840Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=3, url=0, hash=h
